Customer_ID,First_Name,Last_Name,Gender,Age,Account_Type,Balance,Loan_Amount,Loan_Status,Credit_Score,Region,Marital_Status,Employment_Status,Number_of_Accounts,Date_Joined
CUST00001,Jane,Davis,Male,43,Savings,79760.59,0.0,Approved,567,West,Single,Employed,7,2000-01-01
CUST00002,Jane,Garcia,Female,20,Current,1246.06,0.0,Pending,720,Central,Single,Employed,1,2000-01-09
CUST00003,Anna,Williams,Male,34,Savings,84386.24,26589.0,Approved,793,Central,Single,Employed,3,2000-01-18
CUST00004,John,Davis,Male,51,Savings,62973.14,26589.0,Rejected,736,Central,Single,Employed,8,2000-01-27
CUST00005,David,Williams,Male,70,Savings,67261.97,26589.0,Pending,735,South,Married,Self-Employed,4,2000-02-05
CUST00006,Sarah,Hernandez,Female,25,Fixed Deposit,49079.05,26589.0,Pending,679,East,Widowed,Employed,5,2000-02-13
CUST00007,Michael,Davis,Male,51,Current,23234.95,26589.0,Approved,550,West,Married,Employed,9,2000-02-22
CUST00008,David,Miller,Female,60,Current,45399.36,26589.0,Approved,401,Central,Married,Self-Employed,8,2000-03-02
CUST00009,Chris,Brown,Female,18,Savings,98722.52,26589.0,Rejected,504,Central,Divorced,Employed,8,2000-03-11
CUST00010,Anna,Brown,Male,51,Savings,72083.15,26589.0,Approved,685,North,Divorced,Unemployed,3,2000-03-19
CUST00011,Anna,Davis,Male,57,Current,33856.09,26589.0,Pending,405,North,Married,Self-Employed,6,2000-03-28
CUST00012,Sarah,Miller,Male,26,Current,99473.57,0.0,Approved,752,North,Single,Unemployed,4,2000-04-06
CUST00013,Robert,Brown,Male,57,Current,29578.78,26589.0,Approved,382,North,Divorced,Self-Employed,7,2000-04-15
CUST00014,Laura,Williams,Female,41,Savings,27948.55,0.0,Approved,846,North,Single,Unemployed,7,2000-04-24
CUST00015,Chris,Johnson,Male,29,Fixed Deposit,51412.3,26589.0,Approved,526,East,Single,Employed,4,2000-05-02
CUST00016,Sarah,Miller,Female,77,Current,83550.46,0.0,Approved,564,East,Single,Unemployed,6,2000-05-11
CUST00017,Anna,Williams,Male,42,Current,60657.9,26589.0,Approved,389,West,Married,Self-Employed,9,2000-05-20
CUST00018,Chris,Hernandez,Female,27,Savings,58580.98,0.0,Approved,456,Central,Married,Employed,6,2000-05-29
CUST00019,Jane,Martinez,Male,26,Current,98943.4,26589.0,Rejected,819,West,Married,Self-Employed,4,2000-06-06
CUST00020,Sarah,Jones,Female,44,Salary,57408.28,0.0,Pending,813,North,Single,Employed,5,2000-06-15
CUST00021,Chris,Brown,Male,31,Current,66364.37,0.0,Rejected,653,East,Single,Employed,6,2000-06-24
CUST00022,Michael,Johnson,Female,56,Current,73429.3,26589.0,Pending,849,North,Widowed,Employed,8,2000-07-03
CUST00023,Jane,Davis,Female,49,Current,96951.9,0.0,Approved,673,North,Married,Employed,9,2000-07-12
CUST00024,David,Hernandez,Male,64,Current,27592.36,26589.0,Pending,795,Central,Married,Employed,4,2000-07-20
CUST00025,John,Garcia,Female,39,Savings,69663.85,0.0,Approved,583,West,Single,Employed,3,2000-07-29
CUST00026,Chris,Smith,Non-Binary,46,Savings,33497.96,0.0,Rejected,630,West,Single,Self-Employed,5,2000-08-07
CUST00027,Emily,Hernandez,Male,73,Current,15346.64,0.0,Approved,694,Central,Single,Employed,4,2000-08-16
CUST00028,Sarah,Miller,Female,44,Savings,19495.06,26589.0,Rejected,327,Central,Single,Unemployed,7,2000-08-24
CUST00029,Michael,Johnson,Female,72,Current,44793.08,26589.0,Approved,518,Central,Married,Unemployed,6,2000-09-02
CUST00030,David,Martinez,Male,33,Savings,20271.15,0.0,Pending,520,East,Single,Self-Employed,1,2000-09-11
CUST00031,Michael,Hernandez,Male,35,Savings,21410.6,0.0,Pending,562,East,Married,Employed,5,2000-09-20
CUST00032,Anna,Miller,Female,22,Current,54347.64,26589.0,Pending,707,West,Single,Unemployed,2,2000-09-28
CUST00033,Michael,Martinez,Male,36,Fixed Deposit,85761.74,0.0,Approved,592,North,Married,Unemployed,3,2000-10-07
CUST00034,Sarah,Hernandez,Male,71,Savings,97571.88,0.0,Approved,389,East,Divorced,Unemployed,1,2000-10-16
CUST00035,Michael,Johnson,Male,50,Savings,77053.07,26589.0,Approved,479,East,Married,Employed,5,2000-10-25
CUST00036,David,Smith,Male,70,Savings,5998.4,26589.0,Pending,332,South,Married,Unemployed,4,2000-11-03
CUST00037,Sarah,Miller,Male,18,Fixed Deposit,96294.38,26589.0,Approved,687,Central,Single,Employed,8,2000-11-11
CUST00038,Sarah,Smith,Male,74,Fixed Deposit,33906.16,0.0,Rejected,571,South,Married,Unemployed,3,2000-11-20
CUST00039,Michael,Smith,Female,79,Savings,13421.41,26589.0,Approved,843,South,Single,Self-Employed,6,2000-11-29
CUST00040,Chris,Miller,Female,79,Savings,32767.58,26589.0,Approved,430,West,Single,Retired,1,2000-12-08
CUST00041,Emily,Garcia,Female,79,Savings,15239.62,26589.0,Pending,333,East,Single,Retired,4,2000-12-16
CUST00042,Jane,Brown,Male,35,Savings,17201.71,0.0,Rejected,803,South,Single,Employed,3,2000-12-25
CUST00043,Michael,Davis,Male,44,Current,71280.5,26589.0,Approved,727,South,Single,Self-Employed,1,2001-01-03
CUST00044,Jane,Jones,Female,27,Salary,31671.5,26589.0,Approved,678,East,Divorced,Employed,9,2001-01-12
CUST00045,Laura,Williams,Male,27,Savings,12779.04,0.0,Pending,551,North,Single,Employed,5,2001-01-21
CUST00046,Laura,Davis,Male,44,Savings,12959.07,0.0,Rejected,817,South,Married,Employed,4,2001-01-29
CUST00047,Emily,Brown,Male,19,Savings,95148.48,26589.0,Rejected,335,West,Married,Employed,6,2001-02-07
CUST00048,Laura,Garcia,Male,73,Current,32013.42,0.0,Approved,815,West,Married,Retired,4,2001-02-16
CUST00049,Chris,Williams,Male,59,Fixed Deposit,66693.64,0.0,Pending,772,North,Single,Employed,1,2001-02-25
CUST00050,Michael,Johnson,Male,37,Savings,78924.23,0.0,Approved,666,West,Single,Employed,1,2001-03-05
CUST00051,Robert,Jones,Female,22,Savings,99683.53,26589.0,Approved,798,North,Married,Employed,5,2001-03-14
CUST00052,Michael,Williams,Female,71,Salary,96446.33,0.0,Pending,605,South,Married,Self-Employed,4,2001-03-23
CUST00053,Anna,Smith,Female,33,Savings,90480.23,0.0,Approved,756,Central,Single,Self-Employed,2,2001-04-01
CUST00054,David,Davis,Female,37,Current,2129.96,26589.0,Pending,399,West,Married,Employed,7,2001-04-10
CUST00055,Laura,Williams,Female,36,Fixed Deposit,29317.27,0.0,Approved,449,East,Married,Employed,4,2001-04-18
CUST00056,Laura,Garcia,Male,54,Savings,61856.62,0.0,Approved,615,West,Married,Unemployed,1,2001-04-27
CUST00057,Chris,Garcia,Male,29,Savings,38344.92,0.0,Approved,782,North,Married,Retired,8,2001-05-06
CUST00058,Jane,Johnson,Male,25,Fixed Deposit,77260.15,0.0,Approved,516,East,Divorced,Employed,3,2001-05-15
CUST00059,Michael,Brown,Non-Binary,39,Fixed Deposit,46007.29,26589.0,Pending,809,Central,Single,Employed,9,2001-05-23
CUST00060,Laura,Hernandez,Male,47,Current,65680.07,26589.0,Pending,430,North,Single,Employed,5,2001-06-01
CUST00061,David,Martinez,Non-Binary,77,Salary,42021.96,0.0,Approved,476,North,Single,Self-Employed,6,2001-06-10
CUST00062,Robert,Martinez,Male,46,Current,69074.23,0.0,Approved,535,North,Single,Employed,5,2001-06-19
CUST00063,Anna,Miller,Female,34,Fixed Deposit,51330.91,26589.0,Approved,414,South,Single,Unemployed,8,2001-06-27
CUST00064,Sarah,Smith,Male,41,Savings,54635.1,0.0,Pending,522,South,Single,Retired,3,2001-07-06
CUST00065,Jane,Jones,Female,53,Current,10099.83,0.0,Approved,353,North,Married,Retired,1,2001-07-15
CUST00066,Jane,Davis,Female,66,Savings,2482.36,0.0,Pending,475,West,Married,Employed,7,2001-07-24
CUST00067,Jane,Miller,Male,22,Savings,4902.79,0.0,Approved,686,East,Divorced,Employed,4,2001-08-02
CUST00068,Anna,Johnson,Male,69,Savings,41947.17,26589.0,Approved,602,North,Married,Self-Employed,5,2001-08-10
CUST00069,Jane,Davis,Male,68,Salary,80563.19,0.0,Pending,322,South,Single,Unemployed,2,2001-08-19
CUST00070,Sarah,Williams,Male,54,Savings,26087.49,26589.0,Rejected,638,West,Married,Employed,8,2001-08-28
CUST00071,Jane,Davis,Male,51,Current,39978.28,0.0,Pending,603,East,Married,Unemployed,3,2001-09-06
CUST00072,Emily,Smith,Male,54,Savings,20569.44,26589.0,Approved,585,Central,Married,Self-Employed,9,2001-09-14
CUST00073,Emily,Hernandez,Female,20,Current,41977.59,0.0,Approved,818,East,Single,Employed,7,2001-09-23
CUST00074,Jane,Williams,Female,53,Fixed Deposit,65791.73,0.0,Approved,670,Central,Married,Self-Employed,7,2001-10-02
CUST00075,Jane,Brown,Male,66,Savings,39196.96,0.0,Approved,676,Central,Married,Employed,1,2001-10-11
CUST00076,David,Davis,Non-Binary,28,Fixed Deposit,35868.89,0.0,Approved,634,East,Married,Retired,1,2001-10-20
CUST00077,Robert,Davis,Female,70,Current,52122.12,0.0,Approved,443,South,Married,Employed,1,2001-10-28
CUST00078,Chris,Martinez,Female,43,Savings,78507.35,26589.0,Approved,723,South,Divorced,Unemployed,7,2001-11-06
CUST00079,Robert,Johnson,Male,56,Salary,3359.55,26589.0,Pending,793,South,Single,Unemployed,5,2001-11-15
CUST00080,Anna,Davis,Female,63,Current,64440.07,0.0,Pending,372,East,Married,Employed,4,2001-11-24
CUST00081,John,Brown,Male,65,Fixed Deposit,9819.81,0.0,Approved,632,East,Married,Employed,1,2001-12-02
CUST00082,Robert,Garcia,Male,57,Savings,94658.05,26589.0,Pending,715,South,Married,Unemployed,5,2001-12-11
CUST00083,Sarah,Martinez,Female,22,Savings,12936.11,0.0,Approved,722,North,Single,Employed,9,2001-12-20
CUST00084,Anna,Smith,Female,70,Salary,88614.23,0.0,Approved,737,South,Married,Employed,8,2001-12-29
CUST00085,John,Smith,Female,78,Fixed Deposit,71330.48,26589.0,Approved,604,North,Married,Self-Employed,9,2002-01-06
CUST00086,Jane,Smith,Male,21,Savings,95694.1,0.0,Pending,558,West,Single,Employed,4,2002-01-15
CUST00087,John,Davis,Female,47,Current,98178.98,0.0,Approved,356,West,Single,Employed,2,2002-01-24
CUST00088,Sarah,Smith,Male,47,Savings,20545.69,0.0,Pending,674,North,Married,Employed,5,2002-02-02
CUST00089,John,Johnson,Female,64,Current,1776.44,0.0,Pending,763,West,Married,Employed,3,2002-02-11
CUST00090,Anna,Davis,Female,30,Savings,19707.91,26589.0,Pending,510,South,Married,Retired,6,2002-02-19
CUST00091,Anna,Brown,Male,44,Savings,81926.99,26589.0,Pending,835,South,Single,Retired,2,2002-02-28
CUST00092,David,Davis,Female,56,Savings,18449.44,0.0,Pending,393,West,Single,Unemployed,4,2002-03-09
CUST00093,Chris,Jones,Female,69,Savings,8018.56,0.0,Approved,574,East,Single,Retired,8,2002-03-18
CUST00094,Robert,Martinez,Male,41,Savings,8067.56,0.0,Approved,460,Central,Married,Unemployed,7,2002-03-26
CUST00095,Robert,Garcia,Female,23,Fixed Deposit,97021.67,0.0,Approved,397,East,Single,Employed,1,2002-04-04
CUST00096,Michael,Brown,Male,71,Current,13339.96,0.0,Pending,668,South,Married,Retired,8,2002-04-13
CUST00097,Sarah,Martinez,Male,40,Savings,98296.16,26589.0,Approved,520,South,Single,Retired,6,2002-04-22
CUST00098,Emily,Hernandez,Non-Binary,45,Fixed Deposit,59793.88,26589.0,Approved,315,South,Single,Retired,4,2002-05-01
CUST00099,Laura,Miller,Male,25,Fixed Deposit,78492.21,0.0,Pending,448,Central,Single,Unemployed,7,2002-05-09
CUST00100,John,Brown,Female,50,Current,24824.89,26589.0,Pending,573,South,Single,Employed,9,2002-05-18
CUST00101,Chris,Martinez,Male,22,Savings,12805.38,0.0,Approved,349,Central,Single,Unemployed,7,2002-05-27
CUST00102,Emily,Garcia,Male,79,Savings,24067.23,26589.0,Approved,314,North,Married,Self-Employed,4,2002-06-05
CUST00103,Laura,Johnson,Female,33,Current,20569.79,0.0,Pending,747,East,Single,Self-Employed,6,2002-06-13
CUST00104,Robert,Johnson,Female,35,Current,39132.13,0.0,Approved,845,South,Married,Employed,4,2002-06-22
CUST00105,Robert,Williams,Male,67,Savings,61094.12,0.0,Rejected,602,Central,Married,Employed,6,2002-07-01
CUST00106,Robert,Johnson,Male,66,Current,36511.98,26589.0,Pending,424,West,Single,Unemployed,8,2002-07-10
CUST00107,Anna,Johnson,Female,78,Salary,10103.02,0.0,Pending,475,East,Single,Unemployed,5,2002-07-19
CUST00108,Chris,Johnson,Male,23,Savings,81232.96,0.0,Approved,382,East,Single,Employed,5,2002-07-27
CUST00109,Sarah,Miller,Male,63,Savings,25818.1,0.0,Approved,424,West,Single,Employed,4,2002-08-05
CUST00110,Sarah,Martinez,Male,40,Current,24315.29,0.0,Approved,521,Central,Married,Employed,4,2002-08-14
CUST00111,Chris,Miller,Female,23,Savings,6821.98,0.0,Approved,394,East,Married,Self-Employed,1,2002-08-23
CUST00112,Laura,Williams,Female,21,Current,57476.84,0.0,Rejected,398,East,Married,Employed,2,2002-08-31
CUST00113,Emily,Johnson,Female,24,Savings,54644.63,0.0,Approved,548,South,Single,Self-Employed,7,2002-09-09
CUST00114,Chris,Garcia,Female,78,Savings,33435.98,0.0,Approved,686,East,Single,Retired,8,2002-09-18
CUST00115,Laura,Garcia,Female,73,Fixed Deposit,33588.83,26589.0,Rejected,657,South,Married,Employed,1,2002-09-27
CUST00116,Chris,Davis,Male,22,Savings,63252.96,0.0,Pending,836,North,Married,Employed,6,2002-10-05
CUST00117,Laura,Smith,Female,71,Savings,34995.46,0.0,Approved,783,West,Single,Unemployed,5,2002-10-14
CUST00118,Michael,Jones,Female,61,Savings,58965.04,0.0,Rejected,817,South,Single,Employed,6,2002-10-23
CUST00119,Chris,Smith,Female,34,Salary,39305.19,0.0,Rejected,775,Central,Married,Employed,8,2002-11-01
CUST00120,John,Smith,Female,29,Savings,93347.99,26589.0,Rejected,639,North,Divorced,Retired,3,2002-11-10
CUST00121,Chris,Davis,Female,34,Salary,64653.24,0.0,Rejected,336,Central,Married,Self-Employed,7,2002-11-18
CUST00122,Emily,Davis,Male,72,Savings,72334.12,0.0,Approved,572,Central,Married,Employed,8,2002-11-27
CUST00123,Robert,Garcia,Male,23,Savings,70527.02,0.0,Approved,344,South,Married,Retired,3,2002-12-06
CUST00124,Anna,Miller,Female,52,Current,33861.33,0.0,Pending,839,South,Single,Unemployed,4,2002-12-15
CUST00125,Robert,Martinez,Male,23,Salary,57180.47,26589.0,Rejected,488,North,Single,Self-Employed,1,2002-12-23
CUST00126,David,Smith,Female,74,Savings,8531.81,0.0,Approved,616,East,Married,Retired,5,2003-01-01
CUST00127,Chris,Hernandez,Male,18,Fixed Deposit,73716.98,26589.0,Approved,804,South,Single,Employed,7,2003-01-10
CUST00128,Emily,Miller,Male,59,Savings,38761.49,0.0,Rejected,795,West,Married,Employed,4,2003-01-19
CUST00129,John,Johnson,Male,19,Savings,54182.69,0.0,Pending,510,West,Married,Employed,1,2003-01-28
CUST00130,Michael,Hernandez,Female,52,Fixed Deposit,89076.23,26589.0,Pending,550,Central,Married,Self-Employed,1,2003-02-05
CUST00131,Jane,Jones,Male,54,Savings,33036.48,0.0,Rejected,566,East,Married,Retired,7,2003-02-14
CUST00132,John,Brown,Male,26,Fixed Deposit,40759.86,0.0,Rejected,815,South,Single,Retired,4,2003-02-23
CUST00133,Laura,Brown,Female,30,Current,75908.68,0.0,Rejected,480,West,Married,Retired,1,2003-03-04
CUST00134,Jane,Williams,Female,28,Savings,66024.83,0.0,Pending,573,East,Married,Self-Employed,7,2003-03-12
CUST00135,Emily,Miller,Female,54,Savings,23707.08,26589.0,Approved,471,North,Married,Employed,2,2003-03-21
CUST00136,John,Miller,Male,24,Fixed Deposit,24213.62,0.0,Pending,656,East,Married,Retired,7,2003-03-30
CUST00137,Michael,Garcia,Male,52,Savings,45603.71,26589.0,Approved,776,East,Divorced,Employed,8,2003-04-08
CUST00138,Sarah,Brown,Female,60,Savings,13089.03,26589.0,Pending,341,West,Married,Self-Employed,4,2003-04-17
CUST00139,Anna,Martinez,Female,44,Fixed Deposit,3668.04,26589.0,Pending,776,South,Married,Self-Employed,3,2003-04-25
CUST00140,Sarah,Johnson,Female,34,Current,98329.8,26589.0,Approved,359,East,Single,Unemployed,6,2003-05-04
CUST00141,Anna,Martinez,Female,31,Savings,9685.21,0.0,Pending,733,West,Single,Retired,4,2003-05-13
CUST00142,Jane,Williams,Male,58,Fixed Deposit,59026.85,0.0,Approved,583,South,Married,Self-Employed,6,2003-05-22
CUST00143,Chris,Smith,Male,72,Savings,58293.6,0.0,Approved,300,West,Single,Employed,7,2003-05-30
CUST00144,David,Garcia,Non-Binary,64,Savings,34134.8,26589.0,Rejected,304,West,Single,Employed,5,2003-06-08
CUST00145,David,Jones,Female,79,Savings,76722.84,26589.0,Rejected,618,West,Divorced,Unemployed,7,2003-06-17
CUST00146,Robert,Smith,Male,43,Fixed Deposit,34000.07,26589.0,Approved,582,East,Single,Employed,4,2003-06-26
CUST00147,Sarah,Smith,Female,73,Current,77817.14,0.0,Pending,454,South,Married,Employed,5,2003-07-04
CUST00148,Jane,Martinez,Female,40,Savings,32951.49,0.0,Approved,657,Central,Divorced,Unemployed,1,2003-07-13
CUST00149,Robert,Davis,Female,30,Savings,48919.55,0.0,Rejected,722,South,Married,Employed,1,2003-07-22
CUST00150,Jane,Johnson,Male,74,Current,81280.48,0.0,Pending,823,South,Single,Employed,9,2003-07-31
CUST00151,Laura,Miller,Female,62,Current,48601.05,26589.0,Rejected,331,East,Divorced,Employed,5,2003-08-09
CUST00152,Jane,Hernandez,Male,33,Fixed Deposit,59207.52,26589.0,Pending,770,South,Divorced,Self-Employed,3,2003-08-17
CUST00153,Sarah,Hernandez,Female,27,Salary,43527.04,0.0,Approved,572,South,Single,Retired,1,2003-08-26
CUST00154,Jane,Johnson,Male,47,Fixed Deposit,13157.27,26589.0,Pending,830,West,Single,Unemployed,4,2003-09-04
CUST00155,Jane,Garcia,Male,61,Savings,66260.14,26589.0,Approved,403,West,Married,Retired,9,2003-09-13
CUST00156,Emily,Miller,Female,47,Current,69156.7,0.0,Pending,668,West,Single,Employed,1,2003-09-21
CUST00157,Laura,Martinez,Female,67,Salary,78910.88,0.0,Pending,690,North,Single,Employed,8,2003-09-30
CUST00158,John,Smith,Female,30,Savings,9937.38,0.0,Approved,390,West,Divorced,Employed,3,2003-10-09
CUST00159,David,Brown,Male,55,Fixed Deposit,57668.82,0.0,Approved,465,Central,Single,Employed,4,2003-10-18
CUST00160,Laura,Smith,Female,41,Savings,34393.79,26589.0,Approved,737,East,Single,Employed,3,2003-10-27
CUST00161,Robert,Johnson,Male,20,Current,45947.57,0.0,Pending,783,Central,Divorced,Unemployed,8,2003-11-04
CUST00162,John,Garcia,Female,28,Fixed Deposit,78777.22,26589.0,Pending,705,South,Divorced,Employed,5,2003-11-13
CUST00163,John,Garcia,Male,77,Savings,51357.78,0.0,Approved,572,West,Single,Self-Employed,1,2003-11-22
CUST00164,David,Garcia,Female,44,Savings,41163.26,26589.0,Rejected,619,South,Married,Employed,6,2003-12-01
CUST00165,Chris,Miller,Female,49,Salary,65678.28,0.0,Approved,712,North,Married,Retired,8,2003-12-09
CUST00166,David,Brown,Female,47,Savings,47401.25,0.0,Rejected,453,North,Married,Unemployed,7,2003-12-18
CUST00167,David,Smith,Female,37,Current,78161.27,26589.0,Pending,673,South,Married,Retired,9,2003-12-27
CUST00168,Laura,Miller,Female,68,Savings,90858.39,0.0,Rejected,674,North,Single,Unemployed,2,2004-01-05
CUST00169,Laura,Jones,Male,46,Current,92372.25,0.0,Approved,501,West,Single,Self-Employed,6,2004-01-13
CUST00170,Robert,Jones,Male,67,Savings,72392.8,0.0,Approved,653,West,Single,Self-Employed,5,2004-01-22
CUST00171,Sarah,Brown,Female,79,Salary,28524.44,26589.0,Approved,366,East,Married,Unemployed,2,2004-01-31
CUST00172,Michael,Jones,Female,57,Fixed Deposit,2737.91,0.0,Pending,514,South,Single,Self-Employed,2,2004-02-09
CUST00173,Michael,Brown,Male,62,Current,11049.47,26589.0,Rejected,694,West,Married,Retired,9,2004-02-18
CUST00174,David,Garcia,Male,66,Current,46844.53,0.0,Approved,401,Central,Married,Employed,1,2004-02-26
CUST00175,Robert,Miller,Female,28,Savings,11666.46,26589.0,Rejected,462,Central,Single,Self-Employed,9,2004-03-06
CUST00176,Robert,Brown,Male,55,Current,76583.02,26589.0,Approved,670,Central,Single,Employed,9,2004-03-15
CUST00177,Laura,Brown,Male,63,Current,26870.3,0.0,Approved,526,West,Divorced,Employed,4,2004-03-24
CUST00178,John,Martinez,Female,59,Savings,57874.72,0.0,Approved,428,Central,Married,Employed,8,2004-04-01
CUST00179,Jane,Miller,Male,28,Fixed Deposit,30712.35,26589.0,Pending,797,East,Single,Employed,9,2004-04-10
CUST00180,Laura,Jones,Male,32,Current,51506.92,0.0,Pending,338,East,Married,Retired,2,2004-04-19
CUST00181,Anna,Smith,Female,32,Fixed Deposit,57767.03,26589.0,Approved,329,South,Married,Retired,7,2004-04-28
CUST00182,David,Brown,Non-Binary,60,Current,61287.73,26589.0,Approved,790,North,Married,Employed,9,2004-05-07
CUST00183,Chris,Garcia,Female,70,Fixed Deposit,19965.35,26589.0,Approved,762,North,Married,Employed,8,2004-05-15
CUST00184,Laura,Martinez,Male,29,Savings,21921.73,26589.0,Approved,806,East,Single,Employed,5,2004-05-24
CUST00185,Emily,Davis,Female,59,Current,99688.06,0.0,Approved,804,East,Single,Employed,1,2004-06-02
CUST00186,Michael,Smith,Non-Binary,39,Savings,2242.24,0.0,Rejected,493,Central,Single,Unemployed,2,2004-06-11
CUST00187,David,Hernandez,Female,69,Salary,76371.0,0.0,Rejected,779,West,Single,Employed,4,2004-06-19
CUST00188,Chris,Garcia,Female,47,Savings,70153.88,0.0,Rejected,608,South,Married,Employed,5,2004-06-28
CUST00189,Laura,Johnson,Male,26,Savings,76544.46,26589.0,Approved,727,West,Married,Employed,1,2004-07-07
